House_ID,Area_sqft,Bedrooms,Bathrooms,Age,Parking,Price
1,1660,5,3,0,0,9294391.81
2,2094,2,1,4,1,7646299.57
3,1930,2,3,15,1,8514247.62
4,1895,1,2,18,1,6710867.56
5,2438,4,1,3,2,9908240.71
6,2969,1,2,2,0,9580527.84
7,1266,4,2,16,2,7629602.77
8,2038,2,2,16,2,8561937.56
9,1130,1,3,11,1,5803503.48
10,2282,5,3,13,2,11553528.53
11,2935,3,1,20,1,9823574.79
12,930,4,1,5,0,5612188.66
13,2485,3,3,2,1,10798934.25
14,1569,3,2,8,0,6901868.01
15,3191,1,1,4,1,9399682.1
16,2315,3,3,23,2,9738857.47
17,3233,5,3,16,2,13638499.32
18,2015,3,3,13,0,9104484.33
19,1755,1,2,20,0,6451214.94
20,3124,5,3,2,0,13062520.53
21,1984,2,3,0,1,8706421.16
22,1259,3,3,19,1,7113805.76
23,821,1,3,20,0,4337636.63
24,3100,2,1,22,2,10342733.52
25,1547,2,1,0,1,6141402.98
26,1274,4,3,2,1,8349685.75
27,1882,5,2,17,1,9158393.8
28,3358,3,1,24,0,10844293.68
29,2847,1,3,9,0,9809439.88
30,1775,4,1,21,0,7036726.33
31,2606,5,1,2,0,10903679.41
32,989,4,2,7,0,6462706.77
33,1362,5,3,13,2,8568188.72
34,2699,5,3,23,2,12130706.62
35,2067,3,2,17,0,8450430.73
36,2328,5,2,14,1,10153634.88
37,1446,4,3,21,0,7927269.58
38,2868,5,3,22,2,12873564.03
39,3014,3,2,1,2,11536613.36
40,2097,3,1,9,1,8074995.74
41,3235,4,1,1,2,11663495.56
42,1400,2,2,16,0,6282607.88
43,3163,2,1,7,1,10221526.87
44,2861,5,2,0,0,12039553.26
45,1041,1,1,8,0,3960060.34
46,2841,5,1,10,1,11526070.2
47,3412,4,3,21,0,12737874.15
48,2163,4,3,15,2,10499755.68
49,2939,4,1,6,0,10731177.3
50,2190,4,1,9,1,9137135.4
51,2278,4,3,22,1,10511388.58
52,3356,3,3,2,1,12806254.57
53,1575,2,3,17,0,6803943.14
54,834,4,2,24,1,6058427.84
55,3053,1,1,23,1,8503531.02
56,2755,1,3,12,0,9955508.07
57,2385,1,1,6,2,7975418.94
58,1821,1,2,24,0,6133459.29
59,3413,3,2,3,1,12178214.35
60,1929,1,3,12,1,7753351.13
61,2300,4,2,19,0,9622784.56
62,1502,5,1,0,2,8497915.78
63,3249,1,3,7,1,11445571.62
64,2379,3,1,13,1,8732618.25
65,961,3,1,15,1,4612197.51
66,1001,1,2,13,0,4066565.77
67,2781,5,2,11,1,11619799.69
68,1795,1,2,18,2,7031419.11
69,3117,3,2,22,1,11121613.17
70,1615,2,2,14,1,7044876.08
71,1255,4,3,1,2,8556406.85
72,2075,3,1,1,1,8233587.64
73,1816,1,1,22,0,6040540.32
74,3143,4,1,21,0,10848356.67
75,1137,1,1,18,0,3698214.45
76,1678,1,2,24,2,6927791.75
77,1876,2,1,21,1,6902702.89
78,1591,4,3,21,0,8565621.95
79,3064,4,3,16,2,12738667.02
80,1563,2,1,19,1,6082877.28
81,3035,3,1,9,2,10502787.64
82,1179,1,3,5,0,5836401.6
83,1292,5,3,14,0,8069769.01
84,1980,1,2,21,0,6284235.51
85,2862,1,3,10,2,10849350.1
86,864,3,2,4,2,5593867.17
87,3368,1,2,0,0,10278623.37
88,2167,2,2,7,2,8849819.11
89,1952,2,2,20,0,7318036.88
90,2827,4,2,11,0,11117830.96
91,3495,5,1,11,1,13047490.75
92,2295,1,3,4,2,9636164.66
93,1962,1,2,6,0,7126260.74
94,2322,3,3,3,0,9829125.14
95,3440,2,3,5,2,12800597.22
96,1191,5,2,12,1,7476044.7
97,2498,4,1,19,1,9543669.38
98,1218,2,2,14,0,5142463.53
99,3136,4,1,2,2,11988830.55
100,1178,3,3,22,1,6741196.62
