Order_ID,Date,Product,Category,Region,Quantity,Price,Revenue
ORD001,2024-02-23,Printer,Electronics,South,1,1358,1358
ORD002,2024-04-22,Laptop,Electronics,North,1,1164,1164
ORD003,2024-01-30,Mouse,Accessories,South,2,512,1024
ORD004,2024-03-10,Headphones,Accessories,South,5,420,2100
ORD005,2024-01-05,Headphones,Accessories,South,9,1358,12222
ORD006,2024-01-14,Phone,Electronics,East,1,867,867
ORD007,2024-06-01,Keyboard,Accessories,North,10,994,9940
ORD008,2024-06-20,Mouse,Accessories,East,7,407,2849
ORD009,2024-05-22,Monitor,Electronics,South,5,58,290
ORD010,2024-04-18,Printer,Electronics,North,4,558,2232
ORD011,2024-02-16,Laptop,Electronics,East,6,1091,6546
ORD012,2024-03-04,Monitor,Electronics,East,3,839,2517
ORD013,2024-01-10,Keyboard,Accessories,West,1,350,350
ORD014,2024-01-15,Keyboard,Accessories,West,10,664,6640
ORD015,2024-06-20,Phone,Electronics,North,7,830,5810
ORD016,2024-05-22,Phone,Electronics,South,3,679,2037
ORD017,2024-01-27,Phone,Electronics,West,4,868,3472
ORD018,2024-01-30,Phone,Electronics,North,10,285,2850
ORD019,2024-04-21,Phone,Electronics,North,4,1424,5696
ORD020,2024-02-23,Laptop,Electronics,East,3,846,2538
ORD021,2024-03-31,Keyboard,Accessories,East,3,169,507
ORD022,2024-01-05,Keyboard,Accessories,East,6,339,2034
ORD023,2024-04-15,Monitor,Electronics,West,1,345,345
ORD024,2024-01-03,Keyboard,Accessories,West,4,995,3980
ORD025,2024-04-28,Headphones,Accessories,South,6,1243,7458
ORD026,2024-04-01,Keyboard,Accessories,North,7,55,385
ORD027,2024-01-07,Mouse,Accessories,East,4,1436,5744
ORD028,2024-06-13,Printer,Electronics,East,8,1384,11072
ORD029,2024-06-09,Monitor,Electronics,North,2,50,100
ORD030,2024-02-08,Headphones,Accessories,West,4,943,3772
ORD031,2024-01-03,Laptop,Electronics,South,2,390,780
ORD032,2024-04-20,Phone,Electronics,South,1,61,61
ORD033,2024-06-17,Headphones,Accessories,West,10,464,4640
ORD034,2024-05-01,Laptop,Electronics,South,8,812,6496
ORD035,2024-03-06,Printer,Electronics,East,5,1220,6100
ORD036,2024-03-28,Phone,Electronics,North,3,1138,3414
ORD037,2024-04-15,Phone,Electronics,West,7,664,4648
ORD038,2024-06-22,Monitor,Electronics,South,3,380,1140
ORD039,2024-01-24,Printer,Electronics,South,10,230,2300
ORD040,2024-02-28,Phone,Electronics,West,2,566,1132
ORD041,2024-02-14,Phone,Electronics,North,7,1385,9695
ORD042,2024-06-07,Printer,Electronics,North,10,1485,14850
ORD043,2024-01-13,Laptop,Electronics,West,3,770,2310
ORD044,2024-03-04,Mouse,Accessories,North,8,52,416
ORD045,2024-03-03,Phone,Electronics,South,3,224,672
ORD046,2024-03-28,Keyboard,Accessories,East,9,590,5310
ORD047,2024-05-11,Laptop,Electronics,North,2,430,860
ORD048,2024-05-05,Laptop,Electronics,North,1,687,687
ORD049,2024-02-21,Monitor,Electronics,West,2,1077,2154
ORD050,2024-05-10,Phone,Electronics,South,2,1478,2956
ORD051,2024-02-16,Keyboard,Accessories,South,10,1187,11870
ORD052,2024-02-17,Phone,Electronics,West,1,166,166
ORD053,2024-05-31,Mouse,Accessories,South,6,1042,6252
ORD054,2024-05-15,Phone,Electronics,East,8,1278,10224
ORD055,2024-05-15,Laptop,Electronics,West,6,388,2328
ORD056,2024-06-08,Printer,Electronics,South,4,216,864
ORD057,2024-03-26,Phone,Electronics,East,2,527,1054
ORD058,2024-05-09,Laptop,Electronics,South,1,1141,1141
ORD059,2024-02-03,Headphones,Accessories,South,7,1399,9793
ORD060,2024-02-23,Mouse,Accessories,North,9,998,8982
ORD061,2024-01-02,Mouse,Accessories,South,1,409,409
ORD062,2024-06-02,Headphones,Accessories,South,3,1195,3585
ORD063,2024-01-14,Printer,Electronics,West,2,604,1208
ORD064,2024-03-26,Headphones,Accessories,North,7,348,2436
ORD065,2024-05-19,Headphones,Accessories,North,7,513,3591
ORD066,2024-05-19,Mouse,Accessories,North,9,397,3573
ORD067,2024-05-09,Keyboard,Accessories,South,10,521,5210
ORD068,2024-06-27,Keyboard,Accessories,North,5,1090,5450
ORD069,2024-01-25,Phone,Electronics,North,9,518,4662
ORD070,2024-04-26,Headphones,Accessories,West,8,1450,11600
ORD071,2024-01-16,Keyboard,Accessories,East,7,200,1400
ORD072,2024-02-04,Keyboard,Accessories,North,10,267,2670
ORD073,2024-06-02,Keyboard,Accessories,North,6,580,3480
ORD074,2024-02-03,Phone,Electronics,West,4,1374,5496
ORD075,2024-05-02,Laptop,Electronics,East,6,618,3708
ORD076,2024-03-25,Mouse,Accessories,North,2,1220,2440
ORD077,2024-05-18,Laptop,Electronics,North,2,917,1834
ORD078,2024-05-03,Headphones,Accessories,West,1,635,635
ORD079,2024-04-23,Headphones,Accessories,South,8,760,6080
ORD080,2024-03-22,Monitor,Electronics,North,10,1132,11320
ORD081,2024-02-16,Printer,Electronics,North,4,911,3644
ORD082,2024-03-29,Keyboard,Accessories,North,5,122,610
ORD083,2024-03-09,Laptop,Electronics,East,9,904,8136
ORD084,2024-05-25,Monitor,Electronics,North,5,287,1435
ORD085,2024-04-29,Headphones,Accessories,North,10,165,1650
ORD086,2024-02-17,Headphones,Accessories,North,1,869,869
ORD087,2024-01-27,Laptop,Electronics,South,6,438,2628
ORD088,2024-01-27,Printer,Electronics,North,7,1025,7175
ORD089,2024-01-02,Monitor,Electronics,South,3,854,2562
ORD090,2024-03-02,Printer,Electronics,North,1,859,859
ORD091,2024-06-14,Phone,Electronics,West,8,719,5752
ORD092,2024-02-26,Laptop,Electronics,East,1,1484,1484
ORD093,2024-03-07,Phone,Electronics,North,1,677,677
ORD094,2024-04-20,Phone,Electronics,South,3,525,1575
ORD095,2024-05-26,Printer,Electronics,West,5,812,4060
ORD096,2024-06-03,Laptop,Electronics,South,1,984,984
ORD097,2024-02-18,Laptop,Electronics,West,10,545,5450
ORD098,2024-06-17,Keyboard,Accessories,North,3,569,1707
ORD099,2024-05-02,Printer,Electronics,West,4,76,304
ORD100,2024-03-22,Mouse,Accessories,South,1,883,883
