Student_ID,Age,Math_Marks,Science_Marks,English_Marks,Attendance
STU-001,24,60,67,51,82
STU-002,21,69,76,78,97
STU-003,22,84,59,48,61
STU-004,24,75,75,55,71
STU-005,20,51,81,61,71
STU-006,25,79,53,84,95
STU-007,22,55,80,69,79
STU-008,22,73,67,50,87
STU-009,24,90,74,79,87
STU-010,19,58,51,52,94
STU-011,20,47,67,65,57
STU-012,24,55,44,56,76
STU-013,20,64,96,93,76
STU-014,20,100,88,61,83
STU-015,25,98,58,77,70
STU-016,22,81,65,54,79
STU-017,21,63,39,51,82
STU-018,25,57,79,61,77
STU-019,25,88,84,75,96
STU-020,20,60,99,48,82
STU-021,23,86,92,63,54
STU-022,22,96,92,82,97
STU-023,19,64,42,63,68
STU-024,25,65,63,69,53
STU-025,21,67,66,48,84
STU-026,23,100,83,65,98
STU-027,23,100,80,64,66
STU-028,19,100,58,78,93
STU-029,25,86,67,52,77
STU-030,21,82,99,86,79
STU-031,22,70,48,78,78
STU-032,18,58,96,86,95
STU-033,21,84,90,82,55
STU-034,19,43,66,63,84
STU-035,23,68,63,86,90
STU-036,22,49,77,46,86
STU-037,21,50,99,55,73
STU-038,18,65,70,73,78
STU-039,18,44,40,71,98
STU-040,20,87,95,96,95
STU-041,20,50,64,68,80
STU-042,24,66,100,76,84
STU-043,19,53,94,75,82
STU-044,25,92,88,86,70
STU-045,21,59,50,80,81
STU-046,21,49,78,51,72
STU-047,25,77,40,61,82
STU-048,24,74,74,69,52
STU-049,23,73,42,92,67
STU-050,23,100,45,93,74
STU-051,24,48,65,48,91
STU-052,23,84,46,46,80
STU-053,20,78,97,91,52
STU-054,21,100,75,57,89
STU-055,24,84,71,51,95
STU-056,21,69,88,81,73
STU-057,25,50,81,78,99
STU-058,18,51,81,54,81
STU-059,20,51,63,87,96
STU-060,22,53,51,79,71
STU-061,20,75,96,63,72
STU-062,24,72,89,91,51
STU-063,22,89,69,61,76
STU-064,18,98,70,49,91
STU-065,24,62,59,63,51
STU-066,19,65,78,69,75
STU-067,21,77,88,77,66
STU-068,18,77,87,69,89
STU-069,21,86,99,56,82
STU-070,23,79,84,92,58
STU-071,19,65,96,54,92
STU-072,19,70,91,82,97
STU-073,18,77,50,83,88
STU-074,19,42,99,85,78
STU-075,22,78,77,66,91
STU-076,19,78,39,80,75
STU-077,21,89,41,93,84
STU-078,21,57,88,71,99
STU-079,24,44,74,79,74
STU-080,21,42,86,69,73
STU-081,24,45,92,73,62
STU-082,21,65,52,61,56
STU-083,22,97,97,91,85
STU-084,25,57,87,64,94
STU-085,24,79,38,46,69
STU-086,20,66,37,78,50
STU-087,23,48,63,59,57
STU-088,18,58,92,87,95
STU-089,21,55,59,80,65
STU-090,19,66,73,77,63
STU-091,25,82,68,48,61
STU-092,21,100,70,77,72
STU-093,19,53,37,58,64
STU-094,23,92,56,66,77
STU-095,23,74,99,93,83
STU-096,23,78,37,63,51
STU-097,19,91,90,53,81
STU-098,21,93,81,51,72
STU-099,23,73,62,47,71
STU-100,22,45,69,61,74
