Employee_ID,Age,Gender,City,Department,Education,Experience,Performance_Score,Salary
E0001,49.0,Female,Delhi,Sales,Master's,25,1,164411.81
E0002,34.0,Female,Hyderabad,HR,Bachelor's,15,9,129595.64
E0003,30.0,Male,Hyderabad,HR,Master's,3,6,66281.13
E0004,60.0,Female,Bangalore,Sales,Bachelor's,4,7,91765.23
E0005,28.0,Female,Mumbai,HR,Master's,9,2,80590.41
E0006,33.0,Male,Bangalore,IT,Bachelor's,14,10,135056.12
E0007,46.0,Female,Hyderabad,IT,Master's,14,10,140995.82
E0008,52.0,Male,Mumbai,Sales,Master's,10,3,
E0009,46.0,Female,Delhi,HR,Bachelor's,14,2,110580.43
E0010,55.0,Male,Bangalore,HR,Bachelor's,18,1,122058.13
E0011,22.0,Female,Mumbai,IT,Master's,9,7,101406.31
E0012,36.0,Male,Delhi,Operations,Master's,15,10,142251.11
E0013,43.0,Male,Chennai,Operations,Master's,5,3,67202.7
E0014,38.0,Female,Bangalore,HR,Bachelor's,12,5,105340.02
E0015,36.0,Female,Hyderabad,Sales,Bachelor's,13,6,117636.94
E0016,35.0,Male,Hyderabad,Finance,Master's,11,9,117205.19
E0017,22.0,Female,Chennai,IT,Master's,17,6,132933.74
E0018,25.0,Female,Hyderabad,Sales,Bachelor's,25,6,156544.44
E0019,,Female,Mumbai,HR,Bachelor's,12,5,108493.25
E0020,40.0,Male,Bangalore,IT,Bachelor's,25,4,160285.57
E0021,59.0,Male,Chennai,Sales,Bachelor's,16,8,142087.02
E0022,30.0,Female,Chennai,HR,Master's,9,5,98476.79
E0023,54.0,Male,Chennai,IT,Master's,18,5,143247.93
E0024,31.0,Female,Hyderabad,Operations,PhD,24,4,160536.93
E0025,26.0,Female,Hyderabad,Sales,Master's,0,1,40685.77
E0026,28.0,Male,Chennai,Sales,Bachelor's,19,8,141214.58
E0027,36.0,Male,Mumbai,Finance,Bachelor's,2,7,76275.02
E0028,28.0,Female,Mumbai,Operations,Master's,5,10,93570.79
E0029,56.0,Male,Delhi,Operations,Bachelor's,4,9,88143.81
E0030,53.0,Male,Delhi,Sales,Bachelor's,24,5,158057.68
E0031,53.0,Male, hyderabad ,Sales,Bachelor's,21,5,152408.51
E0032,37.0,Male,Hyderabad,Sales,Bachelor's,20,6,149687.37
E0033,22.0,Male,Hyderabad,Finance,PhD,8,3,74459.95
E0034,31.0,Male,Hyderabad,Finance,Bachelor's,25,4,166211.76
E0035,38.0,Male,Hyderabad,Sales,Bachelor's,20,4,141646.97
E0036,44.0,Male,Hyderabad,Operations,Bachelor's,7,6,92677.53
E0037,38.0,Male,Hyderabad,Sales,Bachelor's,10,5,105877.82
E0038,45.0,Female,Chennai,HR,Master's,7,8,99692.66
E0039,36.0,Female,Delhi,Operations,Bachelor's,1,7,60442.79
E0040,46.0,Female,Chennai,Operations,Master's,18,4,130600.19
E0041,22.0,Male,Bangalore,Finance,Bachelor's,11,7,109100.19
E0042,57.0,Female,Chennai,Sales,Bachelor's,9,4,103477.7
E0043,42.0,Female,Bangalore,IT,Master's,10,4,95618.92
E0044,27.0,Male,Mumbai,Finance,Bachelor's,15,9,128874.18
E0045,53.0,Male,Delhi,HR,Master's,7,8,
E0046,35.0,Female,Chennai,IT,Bachelor's,20,2,121243.96
E0047,56.0,Female,Hyderabad,IT,Bachelor's,16,8,136888.39
E0048,32.0,Female,Chennai,IT,Bachelor's,6,9,90141.7
E0049,56.0,Male,Hyderabad,HR,Bachelor's,5,4,85625.03
E0050,21.0,Male,Chennai,HR,Bachelor's,10,3,80466.43
E0051,38.0,Male,Delhi,IT,Bachelor's,11,10,123535.05
E0052,28.0,Female,Bangalore,Sales,Bachelor's,3,1,52671.59
E0053,38.0,Male,Hyderabad,Sales,Bachelor's,16,1,110778.45
E0054,36.0,Male,Chennai,Sales,Bachelor's,11,6,96555.94
E0055,60.0,Male,Hyderabad,Operations,Bachelor's,9,4,107504.9
E0056,36.0,Male,Mumbai,IT,Bachelor's,13,4,119591.21
E0057,51.0,Male,Bangalore,HR,Bachelor's,8,1,74744.78
E0058,45.0,Male,Bangalore,Finance,Bachelor's,9,8,104828.93
E0059,36.0,Male,Mumbai,Finance,Master's,4,8,71431.84
E0060,39.0,Male,Mumbai,HR,PhD,5,6,81843.71
E0061,24.0,Male,Chennai,Operations,Master's,0,7,59351.6
E0062,45.0,Female,Bangalore,IT,Bachelor's,25,7,172062.82
E0063,36.0,Male,Chennai,Finance,Master's,18,2,115215.56
E0064,29.0,Male,Chennai,Sales,Bachelor's,11,6,114046.05
E0065,27.0,Female,Bangalore,Sales,Master's,0,8,67753.73
E0066,26.0,Female,Bangalore,Finance,Bachelor's,11,4,87566.92
E0067,56.0,Female,Delhi,Sales,Bachelor's,25,1,151703.44
E0068,34.0,Female,Mumbai,Sales,Bachelor's,4,7,77513.76
E0069,55.0,Male,Bangalore,Finance,Bachelor's,5,8,93388.23
E0070,24.0,Female,Delhi,Finance,Master's,15,7,130456.05
E0071,23.0,Male,Delhi,HR,PhD,16,6,116804.23
E0072,35.0,Female,Mumbai,Operations,Master's,16,8,130134.76
E0073,59.0,Female,Bangalore,IT,Master's,17,4,131278.75
E0074,39.0,Male,Chennai,IT,Bachelor's,24,8,166555.9
E0075,49.0,Male,Mumbai,HR,Master's,2,8,78674.63
E0076,49.0,Male,Chennai,Finance,Master's,7,9,105041.13
E0077,45.0,Female,Bangalore,HR,Bachelor's,20,1,140278.22
E0078,55.0,Female,Mumbai,IT,Bachelor's,2,4,75614.41
E0079,34.0,Female,Mumbai,Operations,Master's,9,7,102339.81
E0080,23.0,Female,Delhi,IT,Bachelor's,11,8,100453.5
E0081,26.0,Male,Bangalore,Sales,Bachelor's,19,5,128018.16
E0082,59.0,Female,Chennai,Sales,Bachelor's,5,10,96794.57
E0083,25.0,Female,Delhi,Operations,Bachelor's,11,2,88551.44
E0084,49.0,Male,Chennai,IT,Bachelor's,24,4,152819.94
E0085,38.0,Female,Mumbai,Operations,Bachelor's,9,10,107814.44
E0086,60.0,Male,Hyderabad,Operations,PhD,7,6,101811.96
E0087,58.0,Female,Chennai,Finance,Bachelor's,12,3,114864.84
E0088,25.0,Female,Mumbai,IT,Bachelor's,18,1,114626.94
E0089,21.0,Male,Mumbai,IT,Bachelor's,13,7,120001.52
E0090,36.0,Female,Hyderabad,IT,Bachelor's,9,9,92694.74
E0091,,Male,Bangalore,IT,Bachelor's,22,5,149241.23
E0092,41.0,Male,Mumbai,Finance,Master's,5,8,85914.63
E0093,27.0,Male,Bangalore,Operations,Bachelor's,16,9,137335.24
E0094,50.0,Male,Bangalore,HR,Bachelor's,14,1,106788.73
E0095,42.0,Male,Delhi,IT,Master's,5,6,84104.7
E0096,33.0,Male,Mumbai,Sales,Master's,8,5,91761.65
E0097,25.0,Female,Delhi,Operations,Bachelor's,10,3,87424.19
E0098,38.0,Female,Bangalore,Finance,Bachelor's,13,6,118193.8
E0099,57.0,Male,Mumbai,Operations,Master's,18,5,137228.2
E0100,32.0,Male,Bangalore,Operations,Master's,4,9,78482.7
E0101,33.0,Male,Chennai,Operations,Bachelor's,13,5,106766.61
E0102,38.0,Male,Delhi,Sales,Bachelor's,7,8,97194.15
E0103,50.0,Male,Hyderabad,Finance,Master's,10,1,88157.76
