House_ID,Area_sqft,Bedrooms,Bathrooms,Age,Parking,Location,Distance_to_City,Price
1,1967,3,4,23,0,West,8.8,462242.21
2,3180,5,3,36,2,North,21.0,739555.83
3,721,4,2,11,1,North,16.9,276712.23
4,1063,2,1,4,0,East,29.1,189700.47
5,1499,3,3,31,0,South,28.6,257925.45
6,930,5,4,32,3,South,3.3,265290.34
7,668,5,4,6,1,North,28.1,283953.49
8,2986,2,1,26,2,South,6.1,617152.55
9,1220,2,3,22,1,East,23.4,244066.13
10,2236,1,1,32,0,South,3.3,384875.29
11,2905,4,4,3,1,West,3.7,712837.75
12,2537,2,1,7,3,West,32.9,504192.07
13,757,2,4,4,3,East,30.2,203754.8
14,1554,2,4,44,2,West,16.5,310445.02
15,778,1,2,31,2,East,8.1,211521.5
16,3032,1,4,7,1,North,8.6,682057.13
17,1832,3,1,0,3,West,10.9,449011.28
18,3140,3,4,37,2,East,12.9,645350.59
19,1672,2,2,22,2,North,3.3,441985.79
20,2074,4,4,0,2,South,12.1,496456.73
21,810,2,1,30,2,North,2.7,242338.8
22,3167,3,4,33,3,West,2.9,710375.84
23,2838,2,1,18,2,East,30.5,544107.69
24,1940,3,4,14,2,West,24.1,419739.93
25,1242,1,2,7,1,South,26.9,232393.32
26,1771,5,3,17,1,East,24.2,420791.99
27,1764,2,3,35,0,East,11.7,409582.57
28,2653,2,3,40,1,West,23.6,476701.48
29,1410,4,3,9,2,North,30.9,401367.24
30,2293,3,4,18,0,East,32.5,527113.43
31,2715,4,3,21,3,East,15.0,648491.21
32,1161,5,3,24,1,West,31.0,305003.97
33,2632,4,1,18,3,East,26.3,557222.38
34,1963,3,1,28,3,South,8.3,427468.89
35,1171,2,2,29,0,South,20.2,222447.31
36,691,3,4,0,1,South,10.6,176366.85
37,2905,5,3,0,0,North,8.1,712586.75
38,2883,3,1,31,3,South,17.9,518311.47
39,811,3,1,37,1,North,22.3,120915.63
40,2033,1,3,43,1,North,1.9,446245.64
41,888,3,1,24,3,West,11.5,248072.64
42,767,4,4,18,2,East,14.1,244016.41
43,797,5,1,8,0,North,8.8,302793.63
44,3042,5,3,38,0,South,25.4,612762.59
45,1943,4,4,5,0,South,8.7,477249.64
46,3199,5,3,10,0,East,21.1,697495.66
47,2619,1,3,21,1,West,29.2,529701.54
48,2530,3,2,25,1,North,32.5,584953.49
49,922,2,1,26,1,South,7.0,118471.79
50,1750,2,2,11,3,South,8.7,422831.01
51,2086,5,2,11,2,West,10.3,479243.28
52,2158,4,3,9,2,South,12.6,533330.66
53,1004,3,4,14,0,North,10.6,351209.38
54,676,5,3,29,0,North,24.9,201008.7
55,2213,2,4,9,1,South,17.0,463511.32
56,926,5,3,1,1,East,2.7,346539.82
57,3039,2,2,29,2,South,7.9,609871.31
58,1494,2,4,45,0,South,9.5,282354.35
59,3015,4,2,34,0,East,27.3,638823.95
60,1699,5,4,32,2,South,5.5,365406.85
61,1728,1,3,18,0,West,4.2,371874.69
